"molregno","gene_id","tool_score","strength","selectivity","investigation_bias","wilcox_pval","IC50_diff","ontarget_IC50_Q1","offtarget_IC50_Q1","ontarget_IC50_N","offtarget_IC50_N","N_total"
371147,5159,6.20897139144373,8,0.776121423930466,0.00407331975560081,0.000101221879161929,3.19836765376683,1.9,3000,4,978,982
371147,4593,5.25097671291724,8,0.656372089114655,0.00203665987780041,0.00555515372129544,2.46239799789896,10,2900,2,980,982
603516,1017,6.16767493686555,8,0.770959367108194,0.0377358490566038,0.00151835715168841,3.48811663902113,3.25,10000,2,51,53
94194,1814,5.91409157028026,8,0.739261446285033,0.181818181818182,0.0178092395307721,3.8489366370451,0.317,2238.7,2,9,11
597154,5734,5.33759335514401,8,0.667199169393001,0.166666666666667,0.0330962898610967,3.208748386838,1.4,2264,2,10,12
1836990,2915,5.18894818242141,8,0.648618522802676,0.111111111111111,3.34088220630894e-05,2.27567227124554,16.75,3160,2,16,18
40183,2147,5.12472487109482,8,0.640590608886853,0.105263157894737,0.00394554157746207,2.60032627851896,3.1375,1250,2,17,19
705446,2475,5.04215736282135,8,0.630269670352669,0.176470588235294,0.00483350612909702,2.73869125260663,0.355,194.5,3,14,17
1275168,4322,5.10168398867292,8,0.637710498584115,0.157894736842105,0.00120023752229014,2.62893213772826,23.5,10000,3,16,19
370922,1111,5.08195682876968,8,0.63524460359621,0.0238095238095238,0.00798182691225861,2.36905046494946,8.53,1995.26,2,82,84
378628,8317,5.00579842181184,8,0.62572480272648,0.0234741784037559,9.7785852660925e-05,1.90000096515347,10,794.33,5,208,213
1336035,10013,5.63689175259595,8,0.704611469074493,0.183098591549296,6.41048734825758e-09,2.25217720579818,15,2680.825,13,58,71
1175246,4233,5.01971365939797,8,0.627464207424747,0.0133779264214047,0.000439481578230721,2.01589978117689,7.65775,794.33,4,295,299
62111,6714,6.7993757258712,8,0.8499219657339,0.0478011472275335,7.27735745277681e-14,2.16509587475422,1.2,175.5,25,498,523
62111,25,7.97615988386667,8,0.997019985483334,0.0382409177820268,3.6484400202533e-14,3.40032406487976,0.0545,137,20,503,523
62111,11183,5.20128349109308,8,0.650160436386635,0.00382409177820268,0.00834082756088255,2.44715803134222,0.35,98,2,521,523
265025,3352,5.86423535475068,8,0.733029419343835,0.105263157894737,0.000279679162423192,3.20238626984692,0.6275,1000,2,17,19
565613,2053,5.14329642940508,8,0.642912053675634,0.2,0.0209897637962817,3.05060999335509,22.25,25000,2,8,10
